unitid,OPEID,institution_name,addr1_txt,city_txt,state_cd,zip_text,ClassificationCode,classification_name,EFMaleCount,EFFemaleCount,EFTotalCount,sector_cd,sector_name,SPORTSCODE,PARTIC_MEN,PARTIC_WOMEN,SUM_PARTIC_MEN,SUM_PARTIC_WOMEN,OPEXPPERPART_MEN,OPEXPPERTEAM_MEN,OPEXPPERPART_WOMEN,OPEXPPERTEAM_WOMEN,TOTAL_OPEXP_MENWOMEN,SUM_OPEXPPERPART_MEN,SUM_OPEXPPERTEAM_MEN,SUM_OPEXPPERPART_WOMEN,SUM_OPEXPPERTEAM_WOMEN,TOTAL_OPEXP_INCLCOED,MEN_TOTAL_HEADCOACH,WOMEN_TOTAL_HDCOACH,SUM_FTHDCOACH_MALE,SUM_PTHDCOACH_MALE,SUM_FTUNIVEMP_MALE,SUM_PTUNIVEMP_MALE,SUM_FTHDCOACH_FEM,SUM_PTHDCOACH_FEM,SUM_FTUNIVEMP_FEM,SUM_PTUNIVEMP_FEM,SUM_TOTAL_HDCOACH,MEN_TOTAL_ASSTCOACH,WOMEN_TOTAL_ASTCOACH,SUM_FTASCOACH_MALE,SUM_PTASCOACH_MALE,SUM_FTACUNIVEMP_MALE,SUM_PTACUNIVEMP_MALE,SUM_FTASCOACH_FEM,SUM_PTASCOACH_FEM,SUM_FTACUNIVEMP_FEM,SUM_PTACUNIVEMP_FEM,SUM_TOTAL_ASSTCOACH,REV_MEN,REV_WOMEN,TOTAL_REV_MENWOMEN,REVENUE_MENALL,REVENUE_WOMENALL,TOTAL_REVENUE_ALL,EXP_MEN,EXP_WOMEN,TOTAL_EXP_MENWOMEN,EXPENSE_MENALL,EXPENSE_WOMENALL,TOTAL_EXPENSE_ALL,Sports
104717,107400,Grand Canyon University,3300 W Camelback Rd,Phoenix,AZ,85017,3,NCAA Division I without football,8681,13609,22290,3,"Private for-profit, 4-year or above",1,42,,42,0,18568,779860,0,0,779860,18568,779860,0,0,779860,1,,1,0,1,0,0,0,0,0,1,3,,2,1,2,1,0,0,0,0,3,1816423,,1816423,1816423,0,1816423,1816423,,1816423,1816423,0,1816423,Baseball
104717,107400,Grand Canyon University,3300 W Camelback Rd,Phoenix,AZ,85017,3,NCAA Division I without football,8681,13609,22290,3,"Private for-profit, 4-year or above",2,18,18,18,18,75501,1359012,52290,941212,2300224,75501,1359012,52290,941212,2300224,1,1,1,0,1,0,1,0,1,0,2,3,3,5,0,5,0,1,0,1,0,6,6786395,2387786,9174181,6786395,2387786,9174181,6786395,2387786,9174181,6786395,2387786,9174181,Basketball
104717,107400,Grand Canyon University,3300 W Camelback Rd,Phoenix,AZ,85017,3,NCAA Division I without football,8681,13609,22290,3,"Private for-profit, 4-year or above",3,135,129,135,129,2407,324942,2393,308695,633637,2407,324942,2393,308695,633637,1,1,0,2,2,0,0,0,0,0,2,8,8,0,10,6,4,0,6,2,4,16,889358,1013564,1902922,889358,1013564,1902922,889358,1013564,1902922,889358,1013564,1902922,Track and Field and Cross Country (combined)
104717,107400,Grand Canyon University,3300 W Camelback Rd,Phoenix,AZ,85017,3,NCAA Division I without football,8681,13609,22290,3,"Private for-profit, 4-year or above",8,13,12,13,12,16792,218300,18475,221699,439999,16792,218300,18475,221699,439999,1,1,1,0,1,0,1,0,1,0,2,2,1,1,1,1,1,1,0,1,0,3,495912,554758,1050670,495912,554758,1050670,495912,554758,1050670,495912,554758,1050670,Golf
104717,107400,Grand Canyon University,3300 W Camelback Rd,Phoenix,AZ,85017,3,NCAA Division I without football,8681,13609,22290,3,"Private for-profit, 4-year or above",15,37,33,37,33,11525,426426,8171,269651,696077,11525,426426,8171,269651,696077,1,1,2,0,2,0,0,0,0,0,2,3,2,4,1,4,1,0,0,0,0,5,1425637,1153786,2579423,1425637,1153786,2579423,1425637,1153786,2579423,1425637,1153786,2579423,Soccer
104717,107400,Grand Canyon University,3300 W Camelback Rd,Phoenix,AZ,85017,3,NCAA Division I without football,8681,13609,22290,3,"Private for-profit, 4-year or above",16,,28,0,28,0,0,13084,366354,366354,0,0,13084,366354,366354,,1,1,0,1,0,0,0,0,0,1,,2,0,0,0,0,2,0,2,0,2,,1207587,1207587,0,1207587,1207587,,1207587,1207587,0,1207587,1207587,Softball
104717,107400,Grand Canyon University,3300 W Camelback Rd,Phoenix,AZ,85017,3,NCAA Division I without football,8681,13609,22290,3,"Private for-profit, 4-year or above",18,25,25,25,25,8665,216624,8665,216624,433248,8665,216624,8665,216624,433248,1,1,0,2,2,0,0,0,0,0,2,7,7,0,8,8,0,0,6,0,6,14,695315,818193,1513508,695315,818193,1513508,695315,818193,1513508,695315,818193,1513508,Swimming and Diving (combined)
104717,107400,Grand Canyon University,3300 W Camelback Rd,Phoenix,AZ,85017,3,NCAA Division I without football,8681,13609,22290,3,"Private for-profit, 4-year or above",22,12,11,12,11,9736,116828,9736,107092,223920,9736,116828,9736,107092,223920,1,1,0,2,2,0,0,0,0,0,2,2,2,0,2,2,0,0,2,2,0,4,316412,436460,752872,316412,436460,752872,316412,436460,752872,316412,436460,752872,Tennis
104717,107400,Grand Canyon University,3300 W Camelback Rd,Phoenix,AZ,85017,3,NCAA Division I without football,8681,13609,22290,3,"Private for-profit, 4-year or above",26,22,19,22,19,9175,201841,14973,284492,486333,9175,201841,14973,284492,486333,1,1,2,0,2,0,0,0,0,0,2,2,2,2,1,2,1,1,0,1,0,4,599496,1171588,1771084,599496,1171588,1771084,599496,1171588,1771084,599496,1171588,1771084,Volleyball
104717,107400,Grand Canyon University,3300 W Camelback Rd,Phoenix,AZ,85017,3,NCAA Division I without football,8681,13609,22290,3,"Private for-profit, 4-year or above",32,,22,0,22,0,0,8776,193082,193082,0,0,8776,193082,193082,,1,0,0,0,0,1,0,1,0,1,,2,0,1,0,1,1,0,1,0,2,,533265,533265,0,533265,533265,,533265,533265,0,533265,533265,Beach Volleyball
