Rank,Team,Uni,Conference,W,L,T,Pct.,Year,W-L,Sportstype,,,,,,,,,,
1,Ohio St. ,The Ohio State University ,WCHA,32,6,0,0.842,2021,,W,,,,,,,,,,
1,Northeastern ,Northeastern University ,Hockey East,31,5,2,0.842,2021,,W,,,,,,,,,,
3,Colgate ,Colgate University ,ECAC Hockey,30,8,1,0.782,2021,,W,,,,,,,,,,
4,Minnesota ,University of Minnesota ,WCHA,29,9,1,0.756,2021,,W,,,,,,,,,Row Labels,
5,Wisconsin ,University of Wisconsin,WCHA,26,8,4,0.737,2021,,W,,,,,,,,,Bemidji St. ,Bemidji State University 
6,Yale ,Yale University ,ECAC Hockey,26,9,1,0.736,2021,,W,,,,,,,,,Boston College ,Boston College 
7,Quinnipiac ,Quinnipiac University ,ECAC Hockey,26,10,3,0.705,2021,,W,,,,,,,,,Boston U. ,Boston University 
8,Franklin Pierce ,Franklin Pierce University ,NEWHA,22,9,1,0.703,2021,,W,,,,,,,,,Brown ,Brown University 
9,UConn ,University of Connecticut (UConn) ,Hockey East,24,9,4,0.703,2021,,W,,,,,,,,,Clarkson ,Clarkson University 
10,Minn. Duluth ,University of Minnesota Duluth ,WCHA,27,12,1,0.688,2021,,W,,,,,,,,,Colgate ,Colgate University 
11,Harvard ,Harvard University ,ECAC Hockey,22,10,1,0.682,2021,,W,,,,,,,,,Cornell ,Cornell University 
12,Vermont ,University of Vermont ,Hockey East,22,11,3,0.653,2021,,W,,,,,,,,,Dartmouth ,Dartmouth College 
13,Clarkson ,Clarkson University ,ECAC Hockey,22,12,3,0.635,2021,,W,,,,,,,,,Franklin Pierce ,Franklin Pierce University 
14,Mercyhurst ,Mercyhurst University ,CHA,21,12,2,0.629,2021,,W,,,,,,,,,Harvard ,Harvard University 
15,Penn St. ,Pennsylvania State University ,CHA,18,10,5,0.621,2021,,W,,,,,,,,,Holy Cross ,College of the Holy Cross 
16,Boston College ,Boston College ,Hockey East,19,14,1,0.574,2021,,W,,,,,,,,,Lindenwood ,Lindenwood University 
17,Syracuse ,Syracuse University ,CHA,15,11,6,0.563,2021,,W,,,,,,,,,LIU ,Long Island University 
18,St. Anselm ,Saint Anselm College ,NEWHA,16,13,3,0.547,2021,,W,,,,,,,,,Maine ,University of Maine 
19,LIU ,Long Island University ,NEWHA,17,15,3,0.529,2021,,W,,,,,,,,,Mercyhurst ,Mercyhurst University 
20,Providence ,Providence College ,Hockey East,16,14,6,0.528,2021,,W,,,,,,,,,Merrimack ,Merrimack College 
21,Sacred Heart ,Sacred Heart University ,NEWHA,16,15,2,0.515,2021,,W,,,,,,,,,Minn. Duluth ,University of Minnesota Duluth 
22,St. Lawrence ,St. Lawrence University ,ECAC Hockey,15,15,7,0.5,2021,,W,,,,,,,,,Minnesota ,University of Minnesota 
22,Cornell ,Cornell University ,ECAC Hockey,14,14,2,0.5,2021,,W,,,,,,,,,Minnesota St. ,"Minnesota State University, Mankato "
24,Princeton ,Princeton University ,ECAC Hockey,13,15,5,0.47,2021,,W,,,,,,,,,New Hampshire ,University of New Hampshire 
25,Boston U. ,Boston University ,Hockey East,12,15,6,0.455,2021,,W,,,,,,,,,Niagara ,Niagara University 
26,Maine ,University of Maine ,Hockey East,15,19,1,0.443,2021,,W,,,,,,,,,North Dakota ,University of North Dakota 
26,Minnesota St. ,"Minnesota State University, Mankato ",WCHA,15,19,1,0.443,2021,,W,,,,,,,,,Northeastern ,Northeastern University 
28,Bemidji St. ,Bemidji State University ,WCHA,11,20,3,0.368,2021,,W,,,,,,,,,Ohio St. ,The Ohio State University 
29,New Hampshire ,University of New Hampshire ,Hockey East,11,21,2,0.353,2021,,W,,,,,,,,,Penn St. ,Pennsylvania State University 
30,Dartmouth ,Dartmouth College ,ECAC Hockey,9,19,1,0.328,2021,,W,,,,,,,,,Post ,Post University 
31,St. Cloud St. ,St. Cloud State University ,WCHA,9,23,3,0.3,2021,,W,,,,,,,,,Princeton ,Princeton University 
32,Brown ,Brown University ,ECAC Hockey,6,18,5,0.293,2021,,W,,,,,,,,,Providence ,Providence College 
33,Rensselaer ,Rensselaer Polytechnic Institute (RPI) ,ECAC Hockey,9,23,0,0.281,2021,,W,,,,,,,,,Quinnipiac ,Quinnipiac University 
34,Merrimack ,Merrimack College ,Hockey East,8,25,1,0.25,2021,,W,,,,,,,,,Rensselaer ,Rensselaer Polytechnic Institute (RPI) 
35,Lindenwood ,Lindenwood University ,CHA,6,22,1,0.224,2021,,W,,,,,,,,,RIT ,Rochester Institute of Technology (RIT) 
36,Post ,Post University ,NEWHA,6,26,0,0.188,2021,,W,,,,,,,,,Robert Morris ,Robert Morris University 
37,St. Thomas ,University of St. Thomas (Minnesota) ,MN,5,27,1,0.167,2021,,W,,,,,,,,,Sacred Heart ,Sacred Heart University 
38,Union ,Union College (New York) ,NY,5,28,1,0.162,2021,,W,,,,,,,,,Saint Michael's ,Saint Michael's College 
39,Saint Michael's ,Saint Michael's College ,NEWHA,3,23,1,0.13,2021,,W,,,,,,,,,St. Anselm ,Saint Anselm College 
40,RIT ,Rochester Institute of Technology (RIT) ,CHA,2,27,4,0.121,2021,,W,,,,,,,,,St. Cloud St. ,St. Cloud State University 
41,Holy Cross ,College of the Holy Cross ,Hockey East,3,30,0,0.091,2021,,W,,,,,,,,,St. Lawrence ,St. Lawrence University 
1,Franklin Pierce ,Franklin Pierce University ,NEWHA,2,0,0,1,2020,,W,,,,,,,,,St. Thomas ,University of St. Thomas (Minnesota) 
2,Northeastern ,Northeastern University ,Hockey East,22,2,1,0.9,2020,,W,,,,,,,,,Syracuse ,Syracuse University 
3,Wisconsin ,University of Wisconsin,WCHA,17,3,1,0.833,2020,,W,,,,,,,,,UConn ,University of Connecticut (UConn) 
4,Penn St. ,Pennsylvania State University ,CHA,16,3,2,0.81,2020,,W,,,,,,,,,Union ,Union College (New York) 
5,Boston College ,Boston College ,Hockey East,14,6,0,0.7,2020,,W,,,,,,,,,Vermont ,University of Vermont 
6,Colgate ,Colgate University ,ECAC Hockey,15,7,1,0.674,2020,,W,,,,,,,,,Wisconsin ,University of Wisconsin
7,Robert Morris ,Robert Morris University ,CHA,16,8,1,0.66,2020,,W,,,,,,,,,Yale ,Yale University 
8,Ohio St. ,The Ohio State University ,WCHA,13,7,0,0.65,2020,,W,,,,,,,,,Grand Total,
9,Minn. Duluth ,University of Minnesota Duluth ,WCHA,12,7,0,0.632,2020,,W,,,,,,,,,,
10,Quinnipiac ,Quinnipiac University ,ECAC Hockey,10,6,0,0.625,2020,,W,,,,,,,,,,
11,Providence ,Providence College ,Hockey East,12,8,1,0.595,2020,,W,,,,,,,,,,
12,Mercyhurst ,Mercyhurst University ,CHA,10,7,1,0.583,2020,,W,,,,,,,,,,
13,Minnesota ,University of Minnesota ,WCHA,11,8,1,0.575,2020,,W,,,,,,,,,,
14,Syracuse ,Syracuse University ,CHA,12,9,1,0.568,2020,,W,,,,,,,,,,
15,Vermont ,University of Vermont ,Hockey East,6,5,0,0.545,2020,,W,,,,,,,,,,
16,Boston U. ,Boston University ,Hockey East,6,6,0,0.5,2020,,W,,,,,,,,,,
17,UConn ,University of Connecticut (UConn) ,Hockey East,9,10,1,0.475,2020,,W,,,,,,,,,,
18,Maine ,University of Maine ,Hockey East,8,9,1,0.472,2020,,W,,,,,,,,,,
19,St. Lawrence ,St. Lawrence University ,ECAC Hockey,6,7,0,0.462,2020,,W,,,,,,,,,,
20,Clarkson ,Clarkson University ,ECAC Hockey,8,10,1,0.447,2020,,W,,,,,,,,,,
21,LIU ,Long Island University ,NEWHA,5,8,0,0.385,2020,,W,,,,,,,,,,
22,Minnesota St. ,"Minnesota State University, Mankato ",WCHA,7,12,1,0.375,2020,,W,,,,,,,,,,
23,St. Cloud St. ,St. Cloud State University ,WCHA,6,12,1,0.342,2020,,W,,,,,,,,,,
24,New Hampshire ,University of New Hampshire ,Hockey East,7,14,1,0.341,2020,,W,,,,,,,,,,
25,Holy Cross ,College of the Holy Cross ,Hockey East,4,15,1,0.225,2020,,W,,,,,,,,,,
26,Bemidji St. ,Bemidji State University ,WCHA,2,16,2,0.15,2020,,W,,,,,,,,,,
27,Lindenwood ,Lindenwood University ,CHA,2,14,1,0.147,2020,,W,,,,,,,,,,
28,Sacred Heart ,Sacred Heart University ,NEWHA,1,10,0,0.091,2020,,W,,,,,,,,,,
29,Merrimack ,Merrimack College ,Hockey East,1,15,0,0.063,2020,,W,,,,,,,,,,
29,RIT ,Rochester Institute of Technology (RIT) ,CHA,1,15,0,0.063,2020,,W,,,,,,,,,,
1,Cornell ,Cornell University ,ECAC Hockey,28,2,3,0.894,2019,,W,,,,,,,,,,
2,Northeastern ,Northeastern University ,Hockey East,32,4,2,0.868,2019,,W,,,,,,,,,,
3,Wisconsin ,University of Wisconsin,WCHA,28,5,3,0.819,2019,,W,,,,,,,,,,
4,Princeton ,Princeton University ,ECAC,26,6,1,0.803,2019,,W,,,,,,,,,,
5,Minnesota ,University of Minnesota ,WCHA,27,6,3,0.792,2019,,W,,,,,,,,,,
6,Clarkson ,Clarkson University ,ECAC Hockey,25,6,6,0.757,2019,,W,,,,,,,,,,
7,Boston U. ,Boston University ,Patriot,24,8,4,0.722,2019,,W,,,,,,,,,,
8,Ohio St. ,The Ohio State University ,WCHA,24,8,6,0.711,2019,,W,,,,,,,,,,
9,Sacred Heart ,Sacred Heart University ,Independent,21,11,0,0.656,2019,,W,,,,,,,,,,
9,Franklin Pierce ,Franklin Pierce University ,New England Hockey ,21,11,0,0.656,2019,,W,,,,,,,,,,
11,Mercyhurst ,Mercyhurst University ,CHA,21,10,5,0.653,2019,,W,,,,,,,,,,
12,Robert Morris ,Robert Morris University ,CHA,20,12,4,0.611,2019,,W,,,,,,,,,,
13,Minn. Duluth ,University of Minnesota Duluth ,WCHA,18,12,6,0.583,2019,,W,,,,,,,,,,
14,Quinnipiac ,Quinnipiac University ,ECAC Hockey,20,14,3,0.581,2019,,W,,,,,,,,,,
15,Harvard ,Harvard University ,ECAC Hockey,18,14,1,0.561,2019,,W,,,,,,,,,,
16,Providence ,Providence College ,Big East,18,14,4,0.556,2019,,W,,,,,,,,,,
17,New Hampshire ,University of New Hampshire ,Hockey East,18,15,4,0.541,2019,,W,,,,,,,,,,
18,Yale ,Yale University ,ECAC Hockey,17,15,0,0.531,2019,,W,,,,,,,,,,
19,St. Anselm ,Saint Anselm College ,Independent,16,14,3,0.53,2019,,W,,,,,,,,,,
20,Colgate ,Colgate University ,ECAC Hockey,17,15,6,0.526,2019,,W,,,,,,,,,,
21,Boston College ,Boston College ,Hockey East,17,16,3,0.514,2019,,W,,,,,,,,,,
22,Maine ,University of Maine ,Hockey East,15,14,8,0.514,2019,,W,,,,,,,,,,
23,UConn ,University of Connecticut (UConn) ,Hockey East,19,18,2,0.513,2019,,W,,,,,,,,,,
24,Bemidji St. ,Bemidji State University ,WCHA,16,18,3,0.473,2019,,W,,,,,,,,,,
25,Penn St. ,Pennsylvania State University ,CHA,13,15,8,0.472,2019,,W,,,,,,,,,,
26,St. Lawrence ,St. Lawrence University ,ECAC Hockey,13,16,7,0.458,2019,,W,,,,,,,,,,
27,LIU ,Long Island University ,New England Hockey ,14,18,0,0.438,2019,,W,,,,,,,,,,
28,Syracuse ,Syracuse University ,CHA,14,20,2,0.417,2019,,W,,,,,,,,,,
29,RIT ,Rochester Institute of Technology (RIT) ,CHA,12,19,4,0.4,2019,,W,,,,,,,,,,
30,Vermont ,University of Vermont ,Hockey East,10,18,8,0.389,2019,,W,,,,,,,,,,
31,Minnesota St. ,"Minnesota State University, Mankato ",WCHA,11,20,6,0.378,2019,,W,,,,,,,,,,
32,Post ,Post University ,NEWHA,12,23,0,0.343,2019,,W,,,,,,,,,,
