Rank,Team,Uni,Conference,Won,Lost,Pct.,Year,Sportstype
1,Tampa ,University of Tampa ,Sunshine State,21,0,1,2021,M
2,Mercy ,Mercy College ,ECC,16,2,0.889,2021,M
3,Adelphi ,Adelphi University ,NE10,15,2,0.882,2021,M
4,Limestone ,Limestone University ,SAC,17,3,0.85,2021,M
5,Le Moyne ,Le Moyne College ,NE10,16,4,0.8,2021,M
5,Rollins ,Rollins College ,Sunshine State,12,3,0.8,2021,M
7,Lenoir-Rhyne ,Lenoir,SAC,15,4,0.789,2021,M
8,Colorado Mesa ,Colorado Mesa University ,RMAC,14,4,0.778,2021,M
8,UIndy ,University of Indianapolis (UIndy) ,GLVC,14,4,0.778,2021,M
10,Lindenwood ,Lindenwood University ,GLVC,12,4,0.75,2021,M
11,Pace ,Pace University ,NE10,11,4,0.733,2021,M
11,Wilmington ,Wilmington University ,DE,11,4,0.733,2021,M
13,Wingate ,Wingate University ,SAC,13,5,0.722,2021,M
14,Westminster ,Westminster College ,UT,10,4,0.714,2021,M
15,Queens ,Queens University of Charlotte ,NC,12,5,0.706,2021,M
16,Mercyhurst ,Mercyhurst University ,G-MAC,11,5,0.688,2021,M
17,Belmont Abbey ,Belmont Abbey College ,Conference Carolinas,10,5,0.667,2021,M
17,Fla. Southern ,Florida Southern College ,Sunshine State,12,6,0.667,2021,M
17,Roberts Wesleyan ,Roberts Wesleyan College ,ECC,10,5,0.667,2021,M
20,Seton Hill ,Seton Hill University ,G-MAC,13,7,0.65,2021,M
21,Chestnut Hill ,Chestnut Hill College ,CACC,11,6,0.647,2021,M
21,Lander ,Lander University ,Peach Belt,11,6,0.647,2021,M
23,Maryville ,Maryville University ,MO,9,5,0.643,2021,M
24,Florida Tech ,Florida Institute of Technology ,Sunshine State,10,6,0.625,2021,M
24,Mount Olive ,University of Mount Olive ,Conference Carolinas,10,6,0.625,2021,M
24,St. Anselm ,Saint Anselm College ,NE10,10,6,0.625,2021,M
27,Montevallo ,University of Montevallo ,Peach Belt,11,7,0.611,2021,M
28,Lewis ,Lewis University ,GLVC,9,6,0.6,2021,M
29,Alabama Huntsville ,University of Alabama in Huntsville ,Peach Belt,10,7,0.588,2021,M
29,Newberry ,Newberry College ,SAC,10,7,0.588,2021,M
31,Bentley ,Bentley University ,NE10,8,6,0.571,2021,M
31,Rockhurst ,Rockhurst University ,GLVC,8,6,0.571,2021,M
33,Anderson ,Anderson University ,SC,9,7,0.562,2021,M
33,Barton ,Barton College ,Conference Carolinas,9,7,0.562,2021,M
33,Tusculum ,Tusculum University ,SAC,9,7,0.562,2021,M
36,Southern N.H. ,Southern New Hampshire University ,NE10,7,6,0.538,2021,M
37,Felician ,Felician University ,CACC,7,7,0.5,2021,M
37,Lake Erie ,Lake Erie College ,G-MAC,7,7,0.5,2021,M
37,North Greenville ,North Greenville University ,Conference Carolinas,9,9,0.5,2021,M
40,Saint Rose ,The College of Saint Rose ,NE10,8,9,0.471,2021,M
41,Dominican ,Dominican College ,NY,6,7,0.462,2021,M
41,Franklin Pierce ,Franklin Pierce University ,NE10,6,7,0.462,2021,M
43,Chowan ,Chowan University ,Conference Carolinas,6,8,0.429,2021,M
43,Saint Leo ,Saint Leo University ,Sunshine State,6,8,0.429,2021,M
45,Molloy ,Molloy College ,ECC,7,10,0.412,2021,M
46,Davenport ,Davenport University ,GLVC,5,8,0.385,2021,M
47,Palm Beach Atl. ,Palm Beach Atlantic University ,Sunshine State,5,9,0.357,2021,M
48,Georgian Court ,Georgian Court University ,CACC,6,11,0.353,2021,M
49,Catawba ,Catawba College ,SAC,5,10,0.333,2021,M
49,Lynn ,Lynn University ,Sunshine State,5,10,0.333,2021,M
49,Post ,Post University ,CACC,4,8,0.333,2021,M
52,Assumption ,Assumption University ,NE10,4,9,0.308,2021,M
52,Wheeling ,Wheeling University ,G-MAC,4,9,0.308,2021,M
54,Dist. Columbia ,University of the District of Columbia ,ECC,3,7,0.3,2021,M
55,Quincy ,Quincy University ,GLVC,4,10,0.286,2021,M
55,Walsh ,Walsh University ,G-MAC,4,10,0.286,2021,M
57,Mars Hill ,Mars Hill University ,SAC,4,11,0.267,2021,M
58,CSU Pueblo ,Colorado State University Pueblo ,RMAC,3,9,0.25,2021,M
59,Embry-Riddle ,Embry,FL,4,13,0.235,2021,M
59,Lincoln Memorial ,Lincoln Memorial University ,SAC,4,13,0.235,2021,M
61,Caldwell ,Caldwell University ,CACC,3,10,0.231,2021,M
62,Lees-McRae ,Lees,Conference Carolinas,3,12,0.2,2021,M
62,Saint Michael's ,Saint Michael's College ,NE10,3,12,0.2,2021,M
64,Flagler ,Flagler College ,Peach Belt,3,14,0.176,2021,M
64,Shorter ,Shorter University ,Peach Belt,3,14,0.176,2021,M
66,Davis & Elkins ,Davis & Elkins College ,G-MAC,2,12,0.143,2021,M
66,Emmanuel ,Emmanuel College ,GA,2,12,0.143,2021,M
66,St. Thomas Aquinas ,St. Thomas Aquinas College ,ECC,2,12,0.143,2021,M
69,Coker ,Coker University ,SAC,2,14,0.125,2021,M
70,Adams St. ,Adams State University ,RMAC,1,9,0.1,2021,M
71,Alderson Broaddus ,Alderson Broaddus University ,G-MAC,1,11,0.083,2021,M
72,American Int'l ,American International College ,NE10,1,14,0.067,2021,M
72,Young Harris ,Young Harris College ,Peach Belt,1,14,0.067,2021,M
74,D'Youville ,D'Youville College ,ECC,0,11,0,2021,M
1,Le Moyne ,Le Moyne College ,NE10,15,0,1,2020,M
2,Tampa ,University of Tampa ,Sunshine State,10,1,0.909,2020,M
3,Mercy ,Mercy College ,ECC,9,1,0.9,2020,M
4,Lenoir-Rhyne ,Lenoir,SAC,15,2,0.882,2020,M
5,St. Anselm ,Saint Anselm College ,NE10,13,2,0.867,2020,M
6,Mercyhurst ,Mercyhurst University ,G-MAC,12,2,0.857,2020,M
7,Chestnut Hill ,Chestnut Hill College ,CACC,10,2,0.833,2020,M
8,Colorado Mesa ,Colorado Mesa University ,RMAC,9,2,0.818,2020,M
9,Wingate ,Wingate University ,SAC,12,3,0.8,2020,M
10,Mount Olive ,University of Mount Olive ,Conference Carolinas,11,3,0.786,2020,M
10,Seton Hill ,Seton Hill University ,G-MAC,11,3,0.786,2020,M
12,Lindenwood ,Lindenwood University ,GLVC,10,3,0.769,2020,M
12,UIndy ,University of Indianapolis (UIndy) ,GLVC,10,3,0.769,2020,M
14,Lynn ,Lynn University ,Sunshine State,6,2,0.75,2020,M
