Rank,Team,univeristy,Conference,Won,Lost,Year,Sportstype
1,Uindy,University of Indianapolis ,GLVC,22,1,2021,W
2,Queens,Queens University of Charlotte,NC,21,1,2021,W
3,Regis,Regis University,CO,17,1,2021,W
4,East Stroudsburg,East Stroudsburg University of Pennsylvania,PSAC,20,2,2021,W
5,Grand Valley St.,Grand Valley State University,GLIAC,19,2,2021,W
6,Adelphi,Adelphi University,NE10,18,3,2021,W
6,Stonehill,Stonehill College,NE10,18,3,2021,W
8,West Chester,West Chester University of Pennsylvania,PSAC,17,3,2021,W
9,Fla. Southern,Florida Southern College,Sunshine State,16,4,2021,W
10,Wingate,Wingate University,SAC,15,4,2021,W
11,Embry-Riddle,Riddle Aeronautical University ,FL,13,4,2021,W
11,Lynn,Lynn University,Sunshine State,13,4,2021,W
11,Rollins,Rollins College,Sunshine State,13,4,2021,W
14,Lindenwood,Lindenwood University,GLVC,15,5,2021,W
15,Dominican,Dominican College ,NY,14,5,2021,W
15,Mercy,Mercy College,ECC,14,5,2021,W
15,Pace,Pace University,NE10,14,5,2021,W
15,Seton Hill,Seton Hill University,PSAC,14,5,2021,W
19,Mount Olive,University of Mount Olive,Conference Carolinas,13,5,2021,W
19,Walsh,Walsh University,G-MAC,13,5,2021,W
21,Le Moyne,Le Moyne College,NE10,15,6,2021,W
22,Limestone,Limestone University,SAC,12,5,2021,W
23,Mercyhurst,Mercyhurst University,PSAC,14,6,2021,W
24,Davenport,Davenport University,GLIAC,13,6,2021,W
25,Colorado Mesa,Colorado Mesa University,RMAC,12,6,2021,W
25,Indiana,Indiana University of Pennsylvania,PA,12,6,2021,W
25,Millersville,Millersville University of Pennsylvania,PSAC,12,6,2021,W
28,Alabama Huntsville,University of Alabama in Huntsville,Gulf South,11,6,2021,W
29,Florida Tech,Florida Institute of Technology,Sunshine State,9,5,2021,W
30,Georgian Court,Georgian Court University,CACC,12,7,2021,W
30,Lincoln Memorial,Lincoln Memorial University,SAC,12,7,2021,W
32,Jefferson,Jefferson ,CACC,10,6,2021,W
33,Findlay,University of Findlay,G-MAC,11,7,2021,W
33,New Haven,University of New Haven,NE10,11,7,2021,W
33,Wilmington,Wilmington University ,DE,11,7,2021,W
36,Notre Dame,University of Notre Dame,OH,9,6,2021,W
36,Roberts Wesleyan,Roberts Wesleyan College,ECC,9,6,2021,W
38,Bloomsburg,Bloomsburg University of Pennsylvania,PSAC,10,7,2021,W
38,Rockhurst,Rockhurst University,GLVC,10,7,2021,W
38,Slippery Rock,Slippery Rock University of Pennsylvania,PSAC,10,7,2021,W
41,Belmont Abbey,Belmont Abbey College,Conference Carolinas,11,8,2021,W
41,Flagler,Flagler College,Gulf South,11,8,2021,W
41,Newberry,Newberry College,SAC,11,8,2021,W
41,Tampa,University of Tampa,Sunshine State,11,8,2021,W
45,Emmanuel,Emmanuel College ,GA,9,7,2021,W
45,Southern N.H.,Southern New Hampshire University,NE10,9,7,2021,W
45,UC-Colo. Springs,University of Colorado Colorado Springs ,RMAC,9,7,2021,W
48,Assumption,Assumption University,NE10,10,8,2021,W
48,Barton,Barton College,Conference Carolinas,10,8,2021,W
48,Lander,Lander University,Gulf South,10,8,2021,W
51,Bridgeport,University of Bridgeport,ECC,7,6,2021,W
52,Molloy,Molloy College,ECC,9,8,2021,W
52,Northern Mich.,Northern Michigan University,GLIAC,9,8,2021,W
52,Saint Rose,The College of Saint Rose,NE10,9,8,2021,W
55,Bentley,Bentley University,NE10,8,8,2021,W
55,Lee,Lee University,Gulf South,8,8,2021,W
55,Lock Haven,Lock Haven University of Pennsylvania,PSAC,8,8,2021,W
58,North Greenville,North Greenville University,Conference Carolinas,9,10,2021,W
59,Catawba,Catawba College,SAC,8,9,2021,W
59,Holy Family,Holy Family University,CACC,8,9,2021,W
59,McKendree,McKendree University,GLVC,8,9,2021,W
59,Missouri Western,Missouri Western State University,GLVC,8,9,2021,W
63,Mars Hill,Mars Hill University,SAC,7,8,2021,W
64,Concordia-St. Paul,"Concordia University, St. Paul ",GLIAC,8,10,2021,W
64,Lenoir-Rhyne,Lenoir,SAC,8,10,2021,W
66,St. Anselm,Saint Anselm College,NE10,7,9,2021,W
66,UVA Wise,University of Virginia's College at Wise,SAC,7,9,2021,W
68,Young Harris,Young Harris College,Gulf South,7,10,2021,W
69,Charleston,University of Charleston,WV,6,9,2021,W
70,Saint Leo,Saint Leo University,Sunshine State,7,11,2021,W
71,Quincy,Quincy University,GLVC,6,10,2021,W
72,Ashland,Ashland University,G-MAC,6,11,2021,W
73,Davis & Elkins,Davis & Elkins College,MEC,5,10,2021,W
73,Maryville,Maryville University of St. Louis,MO,4,8,2021,W
73,Southern Wesleyan,Southern Wesleyan University,Conference Carolinas,6,12,2021,W
76,Montevallo,University of Montevallo,Gulf South,5,11,2021,W
76,Shepherd,Shepherd University,PSAC,5,11,2021,W
78,St. Thomas Aquinas,St. Thomas Aquinas College,ECC,4,9,2021,W
79,Gannon,Gannon University,PSAC,5,12,2021,W
79,Post,Post University,CACC,5,12,2021,W
81,Lewis,Lewis University,GLVC,4,10,2021,W
82,Tiffin,Tiffin University,G-MAC,5,13,2021,W
83,Franklin Pierce,Franklin Pierce University,NE10,4,11,2021,W
84,Fort Lewis,Fort Lewis College,RMAC,4,12,2021,W
84,Southern Conn. St.,Southern Connecticut State University,NE10,4,12,2021,W
84,Tusculum,Tusculum University,SAC,4,12,2021,W
87,Kutztown,Kutztown University of Pennsylvania,PSAC,4,13,2021,W
87,Shippensburg,Shippensburg University of Pennsylvania,PSAC,4,13,2021,W
89,Chowan,Chowan University,Conference Carolinas,3,10,2021,W
90,Chestnut Hill,Chestnut Hill College,CACC,3,11,2021,W
90,Lake Erie,Lake Erie College,G-MAC,3,11,2021,W
90,West Va. Wesleyan,West Virginia Wesleyan College,MEC,3,11,2021,W
90,Westminster,Westminster College ,UT,3,11,2021,W
94,Felician,Felician University,CACC,3,12,2021,W
94,Lees-McRae,Lees,Conference Carolinas,3,12,2021,W
94,Shorter,Shorter University,Gulf South,3,12,2021,W
97,American Int'l,American International College,NE10,3,13,2021,W
98,Palm Beach Atl.,Palm Beach Atlantic University,Sunshine State,2,12,2021,W
99,CSU Pueblo,Colorado State University Pueblo,RMAC,2,13,2021,W
100,Edinboro,Edinboro University of Pennsylvania,PSAC,2,15,2021,W
1,Lindenwood,Lindenwood University,GLVC,17,1,2020,W
2,Le Moyne,Le Moyne College,NE10,13,1,2020,W
2,West Chester,West Chester University of Pennsylvania,PSAC,13,1,2020,W
4,Fla. Southern,Florida Southern College,Sunshine State,9,1,2020,W
5,Queens,Queens University of Charlotte,NC,14,2,2020,W
5,Regis,Regis University,CO,14,2,2020,W
5,Roberts Wesleyan,Roberts Wesleyan College,ECC,14,2,2020,W
5,UIndy,University of Indianapolis ,GLVC,14,2,2020,W
9,Mount Olive,University of Mount Olive,Conference Carolinas,13,2,2020,W
10,Georgian Court,Georgian Court University,CACC,12,2,2020,W
10,Grand Valley St.,Grand Valley State University,GLIAC,12,2,2020,W
10,Mercy,Mercy College,ECC,12,2,2020,W
10,Rollins,Rollins College,Sunshine State,6,1,2020,W
14,Seton Hill,Seton Hill University,PSAC,13,3,2020,W
15,Alabama Huntsville,University of Alabama in Huntsville,Gulf South,12,3,2020,W
15,Bentley,Bentley University,NE10,12,3,2020,W
15,Limestone,Limestone University,SAC,12,3,2020,W
15,Notre Dame,University of Notre Dame,OH,12,3,2020,W
19,Davenport,Davenport University,GLIAC,11,3,2020,W
19,Jefferson,Jefferson ,CACC,11,3,2020,W
19,Wingate,Wingate University,SAC,11,3,2020,W
22,East Stroudsburg,East Stroudsburg University of Pennsylvania,PSAC,12,4,2020,W
23,Belmont Abbey,Belmont Abbey College,Conference Carolinas,11,4,2020,W
24,St. Anselm,Saint Anselm College,NE10,8,3,2020,W
25,McKendree,McKendree University,GLVC,10,4,2020,W
25,Mercyhurst,Mercyhurst University,PSAC,10,4,2020,W
27,Barton,Barton College,Conference Carolinas,7,3,2020,W
27,Franklin Pierce,Franklin Pierce University,NE10,7,3,2020,W
27,Tampa,University of Tampa,Sunshine State,7,3,2020,W
30,Adelphi,Adelphi University,NE10,9,4,2020,W
